id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
203,Lima Quintana,Hamlet,2,1923-01-01,2002-01-01,,2025-12-06 03:45:14.417159+00
204,Liszt,Franz,21,1811-01-01,1886-01-01,,2025-12-06 03:45:14.417159+00
205,Llamazares Pablo,,2,1975-01-01,,,2025-12-06 03:45:14.417159+00
206,Lloyd Webber,Andrew,17,1948-01-01,,,2025-12-06 03:45:14.417159+00
207,Loewe,Frederick,1,1901-01-01,1988-01-01,,2025-12-06 03:45:14.417159+00
208,Lopszyc,Eva,2,,,,2025-12-06 03:45:14.417159+00
209,Los Kjarkas,,7,,,,2025-12-06 03:45:14.417159+00
210,Los Saviñón,,,,,,2025-12-06 03:45:14.417159+00
211,Lutoslawski,Witold,30,1913-01-01,1994-01-01,,2025-12-06 03:45:14.417159+00
212,Maestre,Eduardo,16,,,,2025-12-06 03:45:14.417159+00
213,Mahler,Ángel,2,1960-01-01,2025-01-01,,2025-12-06 03:45:14.417159+00
214,Mahler,Gustav,5,1860-01-01,1911-01-01,,2025-12-06 03:45:14.417159+00
215,Mangani,Michele,24,1966-01-01,,,2025-12-06 03:45:14.417159+00
216,Márquez,Arturo,26,1950-01-01,,,2025-12-06 03:45:14.417159+00
217,Martí,Leopoldo,2,,,,2025-12-06 03:45:14.417159+00
218,Mascagni,Pietro,24,1863-01-01,1945-01-01,,2025-12-06 03:45:14.417159+00
219,Matos Rodríguez,Gerardo,2,1897-01-01,1948-01-01,,2025-12-06 03:45:14.417159+00
220,McCartney,Paul,22,,,,2025-12-06 03:45:14.417159+00
221,McFerrin,Bobby,17,1950-01-01,,,2025-12-06 03:45:14.417159+00
222,Mendelssohn-Bartholdy,Félix,1,1809-01-01,1847-01-01,,2025-12-06 03:45:14.417159+00
223,Menken,Alan,17,1949-01-01,,,2025-12-06 03:45:14.417159+00
224,Mercadante,Saverio,24,1795-01-01,1870-01-01,,2025-12-06 03:45:14.417159+00
225,Milkota,Jorge,2,,,,2025-12-06 03:45:14.417159+00
226,Miranda,Lin-Manuel,17,1980-01-01,,,2025-12-06 03:45:14.417159+00
227,Moncayo,José Pablo,26,1912-01-01,1958-01-01,,2025-12-06 03:45:14.417159+00
228,Montaner,Ricardo,3,1957-01-01,,,2025-12-06 03:45:14.417159+00
229,Montbrun Ocampo,Carlos,2,1896-01-01,1962-01-01,,2025-12-06 03:45:14.417159+00
230,Montero,Claudia,2,1962-01-01,2021-01-01,,2025-12-06 03:45:14.417159+00
231,Monti,Vittorio,24,1868-01-01,1922-01-01,,2025-12-06 03:45:14.417159+00
232,Mores,Mariano,2,1918-01-01,2016-01-01,,2025-12-06 03:45:14.417159+00
233,Morricone,Ennio,24,1928-01-01,2020-01-01,,2025-12-06 03:45:14.417159+00
234,Moscardini,Carlos,2,1959-01-01,,,2025-12-06 03:45:14.417159+00
235,Mozart,Wolfgang Amadeus,5,1756-01-01,1791-01-01,,2025-12-06 03:45:14.417159+00
236,Muczynski,Robert,17,1929-01-01,2010-01-01,,2025-12-06 03:45:14.417159+00
237,Muse,,,,,,2025-12-06 03:45:14.417159+00
238,Mussorgsky,Modest,35,1839-01-01,1881-01-01,,2025-12-06 03:45:14.417159+00
239,Nante,Alex,9,1982-01-01,,,2025-12-06 03:45:14.417159+00
240,Naon,Luis,2,1961-01-01,,,2025-12-06 03:45:14.417159+00
241,Neviani,Filippo (Nek),24,1972-01-01,,,2025-12-06 03:45:14.417159+00
242,Newman,Alfred,17,1900-01-01,1970-01-01,,2025-12-06 03:45:14.417159+00
243,Newman,Randy,17,1943-01-01,,,2025-12-06 03:45:14.417159+00
244,Nielsen,Carl August,14,1865-01-01,1931-01-01,,2025-12-06 03:45:14.417159+00
245,Nirvana,,,,,,2025-12-06 03:45:14.417159+00
246,Novarro,Chico,2,1933-01-01,2023-01-01,,2025-12-06 03:45:14.417159+00
247,Novellis,Guillermo,2,1960-01-01,,,2025-12-06 03:45:14.417159+00
248,Ogando,Carlos,33,,,,2025-12-06 03:45:14.417159+00
249,Ortiz Zuñiga,Fernando,11,,,,2025-12-06 03:45:14.417159+00
250,Panizza,Héctor,2,1875-01-01,1967-01-01,,2025-12-06 03:45:14.417159+00
251,Parada,Lisandro,2,,,,2025-12-06 03:45:14.417159+00
252,Parera,Blas,16,1776-01-01,1840-01-01,,2025-12-06 03:45:14.417159+00
253,Parker,Jim,17,1934-01-01,,,2025-12-06 03:45:14.417159+00
254,Parra,Violeta,11,1917-01-01,1967-01-01,,2025-12-06 03:45:14.417159+00
255,Pärt,Arvo,18,1935-01-01,,,2025-12-06 03:45:14.417159+00
256,Pasculli,Antonio,24,1842-01-01,1924-01-01,,2025-12-06 03:45:14.417159+00
257,Peguero-Camilo,Caonex,33,1963-01-01,,,2025-12-06 03:45:14.417159+00
258,Penella Moreno,Manuel,16,1880-01-01,1939-01-01,,2025-12-06 03:45:14.417159+00
259,Pereira,Martín,2,,,,2025-12-06 03:45:14.417159+00
260,Pereira,Remigio,28,1962-01-01,2022-01-01,,2025-12-06 03:45:14.417159+00
261,Pérez Botija,Rafael,16,1949-01-01,,,2025-12-06 03:45:14.417159+00
262,Pérez,Naldo,2,,,,2025-12-06 03:45:14.417159+00
263,Piaf,Edith,20,1915-01-01,1963-01-01,,2025-12-06 03:45:14.417159+00
264,Piazzolla,Astor,2,1921-01-01,1992-01-01,,2025-12-06 03:45:14.417159+00
265,Pierpont,James,17,1822-01-01,1893-01-01,,2025-12-06 03:45:14.417159+00
266,Plaza,Juan Bautista,40,1898-01-01,1965-01-01,,2025-12-06 03:45:14.417159+00
267,Plaza,Julián,2,1928-01-01,2003-01-01,,2025-12-06 03:45:14.417159+00
268,Ponce,Manuel María,26,1882-01-01,1948-01-01,,2025-12-06 03:45:14.417159+00
269,Porcelli,Pablo,2,,,,2025-12-06 03:45:14.417159+00
270,Prada,Ana,2,1971-01-01,,,2025-12-06 03:45:14.417159+00
271,Prokofiev,Sergei,35,1891-01-01,1953-01-01,,2025-12-06 03:45:14.417159+00
272,Puccini,Giacomo,24,1858-01-01,1924-01-01,,2025-12-06 03:45:14.417159+00
273,Purcell,Henry,22,1659-01-01,1695-01-01,,2025-12-06 03:45:14.417159+00
274,Queen,.,22,,,,2025-12-06 03:45:14.417159+00
275,Rachmaninoff,Sergei,35,1873-01-01,1943-01-01,,2025-12-06 03:45:14.417159+00
276,Raff,Joachim,38,1822-01-01,1882-01-01,,2025-12-06 03:45:14.417159+00
